Customer ID,Age,Gender,Income Bracket,Purchase Frequency,Average Spend
CUST200000,29,Female,10 LPA,9,2248.08
CUST200001,56,Male,20+ LPA,7,1335.89
CUST200002,58,Other,10 LPA,9,1250.89
CUST200003,36,Male,10 LPA,6,4288.93
CUST200004,57,Male,10-20 LPA,1,2680.74
CUST200005,30,Female,20+ LPA,7,3581.14
CUST200006,44,Other,20+ LPA,8,1252.64
CUST200007,54,Male,10 LPA,5,647.13
CUST200008,32,Other,10-20 LPA,3,4013.33
CUST200009,54,Other,20+ LPA,9,2798.63
CUST200010,54,Male,10-20 LPA,9,4204.77
CUST200011,41,Other,1-5 LPA,12,2486.15
CUST200012,31,Female,1-5 LPA,12,4235.32
CUST200013,66,Male,10-20 LPA,1,2523.8
CUST200014,40,Male,20+ LPA,2,3990.34
CUST200015,33,Male,10-20 LPA,12,3246.18
CUST200016,45,Male,10 LPA,4,4160.88
CUST200017,69,Male,10-20 LPA,9,1764.88
CUST200018,52,Male,10-20 LPA,12,1816.86
CUST200019,54,Female,1-5 LPA,3,4832.47
CUST200020,68,Female,1-5 LPA,5,4401.71
CUST200021,26,Other,10 LPA,4,1158.1
CUST200022,38,Male,20+ LPA,8,1139.77
CUST200023,58,Female,20+ LPA,7,2533.96
CUST200024,58,Male,20+ LPA,9,3874.11
CUST200025,62,Female,20+ LPA,8,1972.8
CUST200026,18,Other,1-5 LPA,12,4874.68
CUST200027,58,Other,10-20 LPA,2,4080.55
CUST200028,43,Male,20+ LPA,4,2726.22
CUST200029,38,Female,10-20 LPA,9,3100.7
CUST200030,54,Female,10-20 LPA,11,3930.14
CUST200031,20,Male,20+ LPA,1,1059.07
CUST200032,28,Female,20+ LPA,1,4963.27
CUST200033,45,Male,10 LPA,11,1858.39
CUST200034,35,Male,10-20 LPA,5,870.89
CUST200035,60,Other,10 LPA,1,2283.54
CUST200036,37,Other,10 LPA,7,3449.68
CUST200037,63,Male,1-5 LPA,4,2645.63
CUST200038,26,Other,10 LPA,9,3559.92
CUST200039,18,Male,10-20 LPA,2,4946.7
CUST200040,45,Other,10 LPA,8,818.73
CUST200041,42,Male,1-5 LPA,2,1910.08
CUST200042,37,Male,20+ LPA,3,3387.09
CUST200043,61,Male,1-5 LPA,9,3034.81
CUST200044,57,Other,10 LPA,8,2080.34
CUST200045,31,Other,10 LPA,7,3272.34
CUST200046,46,Male,1-5 LPA,2,1130.06
CUST200047,25,Other,20+ LPA,6,4834.62
CUST200048,38,Male,10 LPA,5,3400.79
CUST200049,33,Other,10-20 LPA,12,620.71
