Site ID,Product ID,Beginning Inventory,Ending Inventory,Replenishment,Stockout Flag
A11D,PRD10087,222,233,42,No
AM14,PRD10082,428,442,72,No
ZYTJ,PRD10093,457,502,55,No
0T0P,PRD10092,329,378,72,No
BVM2,PRD10082,80,153,77,No
CX19,PRD10085,74,78,10,No
0T0P,PRD10080,168,182,18,No
JI0Y,PRD10027,308,329,68,No
30T9,PRD10079,376,393,95,No
ID25,PRD10084,299,311,12,No
BVM2,PRD10070,260,271,11,No
58KX,PRD10092,190,232,78,No
VUZZ,PRD10064,466,479,99,No
FKHM,PRD10022,104,110,22,No
FFYV,PRD10030,148,170,89,No
4CIY,PRD10045,186,241,60,No
CXUL,PRD10051,285,336,82,No
KJLT,PRD10028,203,290,97,No
A11D,PRD10083,438,451,14,No
SEMC,PRD10048,243,263,80,No
30T9,PRD10081,54,132,99,No
MYZY,PRD10063,482,505,65,No
4ZKL,PRD10012,320,328,15,No
IUC0,PRD10088,340,376,70,No
PKH1,PRD10009,400,411,45,No
4ZKL,PRD10084,66,78,32,No
VUZZ,PRD10026,350,354,28,No
OTOH,PRD10050,89,127,48,No
4ZKL,PRD10030,340,356,59,No
BVM2,PRD10042,246,248,27,No
KJLT,PRD10092,90,120,74,No
30T9,PRD10012,273,308,39,No
GHC0,PRD10077,443,455,88,No
SEMC,PRD10099,217,220,13,No
GDPP,PRD10057,301,318,39,No
PS3Y,PRD10048,271,280,33,No
MYZY,PRD10098,366,398,47,No
OTOH,PRD10009,92,127,44,No
EXQ7,PRD10091,451,523,91,No
NY20,PRD10049,212,262,56,No
MYZY,PRD10000,207,227,66,No
XDP5,PRD10034,102,126,26,No
5JSG,PRD10055,279,289,81,No
I3QK,PRD10052,102,114,13,No
8CGV,PRD10070,97,107,86,No
HOCN,PRD10049,56,77,47,No
EXQ7,PRD10099,93,143,81,No
4ZKL,PRD10066,136,185,97,No
ZYTJ,PRD10017,187,218,48,No
0L72,PRD10018,82,86,31,No
GDPP,PRD10053,203,265,71,No
CXUL,PRD10032,176,203,90,No
2VLP,PRD10078,150,205,68,No
0T0P,PRD10038,53,92,60,No
WM31,PRD10048,461,485,52,No
GHC0,PRD10055,467,484,93,No
0T0P,PRD10038,214,276,87,No
ID25,PRD10040,140,180,60,No
M5IG,PRD10094,405,434,91,No
4ZKL,PRD10031,216,257,58,No
SEMC,PRD10046,108,165,82,No
P7Y6,PRD10069,142,169,97,No
VUZZ,PRD10093,286,360,100,No
A1WJ,PRD10037,475,565,98,No
93TY,PRD10086,305,312,27,No
P5TB,PRD10030,179,254,94,No
OTOH,PRD10054,454,508,58,No
A1WJ,PRD10076,295,328,84,No
BVM2,PRD10064,495,540,98,No
BVM2,PRD10004,454,466,56,No
BVM2,PRD10076,376,393,20,No
M5K8,PRD10031,386,436,95,No
ZYTJ,PRD10082,363,366,15,No
XDP5,PRD10042,457,509,65,No
JI0Y,PRD10012,182,188,38,No
NY20,PRD10066,335,346,84,No
SV87,PRD10057,241,272,60,No
M5K8,PRD10086,351,385,98,No
FFYV,PRD10044,62,120,71,No
M5IG,PRD10053,93,94,24,No
FFYV,PRD10044,209,233,53,No
IUC0,PRD10066,297,321,54,No
J7YH,PRD10056,419,461,99,No
HOCN,PRD10008,203,215,15,No
VUZZ,PRD10043,381,383,23,No
ZYTJ,PRD10094,174,228,76,No
PS3Y,PRD10020,219,246,81,No
T4UF,PRD10029,458,479,61,No
5JSG,PRD10023,377,416,94,No
SEMC,PRD10003,427,490,88,No
A1WJ,PRD10075,269,328,59,No
OTOH,PRD10027,155,155,45,No
CX19,PRD10073,102,157,78,No
CXUL,PRD10041,150,204,68,No
4CIY,PRD10085,491,496,72,No
W1Q5,PRD10040,355,375,59,No
SEMC,PRD10075,108,140,54,No
T4UF,PRD10079,138,144,96,No
P5TB,PRD10078,352,368,20,No
HOCN,PRD10015,172,214,49,No
