Product ID,Product Name,Category,Subcategory,Unit Cost,Unit Price,Supplier,Shelf Life
PRD10000,Cheese Item 0,Dairy,Cheese,127.63,143.9,Supplier 1,12
PRD10001,Bread Item 1,Bakery,Bread,422.83,570.2,Supplier 4,37
PRD10002,Accessories Item 2,Electronics,Accessories,74.91,110.8,Supplier 8,70
PRD10003,Men Item 3,Apparel,Men,310.83,461.74,Supplier 2,46
PRD10004,Men Item 4,Apparel,Men,297.77,438.18,Supplier 10,178
PRD10005,Laptop Item 5,Electronics,Laptop,471.91,556.54,Supplier 10,165
PRD10006,Bread Item 6,Bakery,Bread,354.65,432.9,Supplier 10,35
PRD10007,Cheese Item 7,Dairy,Cheese,275.72,376.25,Supplier 2,134
PRD10008,Men Item 8,Apparel,Men,427.8,611.3,Supplier 2,115
PRD10009,Kids Item 9,Apparel,Kids,447.96,575.13,Supplier 3,116
PRD10010,Cookies Item 10,Bakery,Cookies,270.44,367.85,Supplier 10,142
PRD10011,Laptop Item 11,Electronics,Laptop,229.08,318.97,Supplier 5,87
PRD10012,Bread Item 12,Bakery,Bread,153.89,197.03,Supplier 8,150
PRD10013,Laptop Item 13,Electronics,Laptop,33.78,48.66,Supplier 3,129
PRD10014,Cakes Item 14,Bakery,Cakes,402.96,498.11,Supplier 10,75
PRD10015,Yogurt Item 15,Dairy,Yogurt,475.07,538.85,Supplier 7,130
PRD10016,Cookies Item 16,Bakery,Cookies,248.52,344.13,Supplier 8,9
PRD10017,Cheese Item 17,Dairy,Cheese,126.37,173.98,Supplier 5,174
PRD10018,Women Item 18,Apparel,Women,285.67,353.52,Supplier 9,89
PRD10019,Kids Item 19,Apparel,Kids,237.8,290.75,Supplier 4,35
PRD10020,Cakes Item 20,Bakery,Cakes,77.39,101.72,Supplier 3,54
PRD10021,Cookies Item 21,Bakery,Cookies,252.42,350.82,Supplier 9,157
PRD10022,Men Item 22,Apparel,Men,419.66,511.36,Supplier 6,50
PRD10023,Men Item 23,Apparel,Men,359.85,414.06,Supplier 1,18
PRD10024,Kids Item 24,Apparel,Kids,473.16,641.2,Supplier 8,31
PRD10025,Yogurt Item 25,Dairy,Yogurt,156.48,202.09,Supplier 6,52
PRD10026,Cheese Item 26,Dairy,Cheese,471.71,609.02,Supplier 2,107
PRD10027,Mobile Item 27,Electronics,Mobile,296.97,408.21,Supplier 3,43
PRD10028,Men Item 28,Apparel,Men,497.08,570.34,Supplier 7,160
PRD10029,Cookies Item 29,Bakery,Cookies,202.58,296.46,Supplier 5,155
PRD10030,Laptop Item 30,Electronics,Laptop,292.94,329.29,Supplier 2,58
PRD10031,Cakes Item 31,Bakery,Cakes,337.01,391.88,Supplier 3,146
