Date,Site ID,Product ID,Units Sold,Revenue,Discounts,Returns,Customer ID
02-04-2024,XDP5,PRD10002,20,4844.84,764.83,3,CUST200026
03-04-2024,PS3Y,PRD10020,27,9001.49,1639.15,3,CUST200048
09-04-2024,8CGV,PRD10008,23,3122.03,463.83,0,CUST200025
09-04-2024,4CIY,PRD10070,38,11323.57,1275.45,1,CUST200048
17-04-2024,2VLP,PRD10019,44,10382.36,1096.84,3,CUST200040
17-04-2024,M5IG,PRD10052,12,4669.28,769.84,5,CUST200022
20-04-2024,5JSG,PRD10053,12,5619.39,311.6,3,CUST200001
21-04-2024,CX19,PRD10024,49,14799.97,2230.62,1,CUST200041
22-04-2024,A1WJ,PRD10073,42,4634.91,652.37,4,CUST200042
22-04-2024,AM14,PRD10045,40,19964.49,1820.43,0,CUST200036
24-04-2024,PKH1,PRD10017,46,8273.54,1001.61,3,CUST200026
25-04-2024,A11D,PRD10042,18,1435.46,151.01,3,CUST200031
25-04-2024,8CGV,PRD10082,43,8727.03,1122.9,5,CUST200035
27-04-2024,M5IG,PRD10076,20,3775.8,516.11,1,CUST200013
27-04-2024,J7YH,PRD10052,22,8015.3,521.65,1,CUST200047
28-04-2024,SEMC,PRD10064,24,3196.16,636.61,2,CUST200014
30-04-2024,CXUL,PRD10036,5,1647.2,323.85,0,CUST200040
30-04-2024,PS3Y,PRD10059,44,17922.05,2840.5,3,CUST200019
01-05-2024,ZYTJ,PRD10056,27,6815.89,549.38,4,CUST200012
01-05-2024,M5K8,PRD10011,42,12414.53,1617.28,5,CUST200000
02-05-2024,OTOH,PRD10017,34,4063.82,401.33,5,CUST200036
02-05-2024,PS3Y,PRD10064,13,3833.66,277.86,2,CUST200016
05-05-2024,MYZY,PRD10010,6,1363.8,220.51,2,CUST200010
05-05-2024,58KX,PRD10069,33,13116.77,1654.59,0,CUST200023
05-05-2024,EIMV,PRD10099,42,8225.18,883.62,4,CUST200039
08-05-2024,A1WJ,PRD10059,44,11806.64,817.61,4,CUST200002
09-05-2024,5JSG,PRD10098,41,10544.22,1720.47,4,CUST200036
09-05-2024,7EEQ,PRD10081,26,5054.12,860.03,5,CUST200037
10-05-2024,4ZKL,PRD10017,34,6668.62,647.91,2,CUST200041
12-05-2024,HOCN,PRD10077,10,515.27,47.02,5,CUST200004
12-05-2024,GDPP,PRD10056,43,9611.66,1355.83,3,CUST200022
14-05-2024,I3QK,PRD10082,12,465.46,72.68,3,CUST200044
15-05-2024,CX19,PRD10039,26,12994.95,2051,4,CUST200000
26-05-2024,A1WJ,PRD10064,15,7106.99,401.58,5,CUST200001
28-05-2024,PKH1,PRD10084,27,8509.4,1620.49,0,CUST200028
29-05-2024,NY20,PRD10008,31,7290.34,760.43,4,CUST200000
29-05-2024,SEMC,PRD10002,21,2152.48,413.58,3,CUST200030
31-05-2024,4CIY,PRD10099,17,6084.95,500.1,4,CUST200043
31-05-2024,0T0P,PRD10012,26,5177.52,1025.24,4,CUST200024
31-05-2024,5JSG,PRD10068,26,7119.95,1133.34,1,CUST200025
31-05-2024,NY20,PRD10096,31,14226.89,2195.83,5,CUST200043
02-06-2024,93TY,PRD10045,43,20284.92,2301.13,5,CUST200012
02-06-2024,GDPP,PRD10057,16,1401.94,80.74,3,CUST200015
03-06-2024,58KX,PRD10019,20,1980.71,194.9,5,CUST200004
06-06-2024,PS3Y,PRD10007,38,18208.83,2444.58,5,CUST200011
06-06-2024,EXQ7,PRD10068,46,6000.84,802.96,5,CUST200027
06-06-2024,XDP5,PRD10047,33,9556.56,935.28,3,CUST200014
10-06-2024,PKH1,PRD10036,31,10977.55,777.42,5,CUST200016
11-06-2024,ID25,PRD10041,16,372.46,40.05,3,CUST200008
